id,image_path,question,model_answer,correct_answer
061bac0f94,images/Amharic/061bac0f94.jpg,ሰውዬው የያዘው መሳሪያ ምንድን ነው?,እንደማስቀለም በማስቀለም በማስቀለም በማስቀለም በማስቀለም በማስቀለም በማስቀለም በማ�,ማሲንቆ
36804fcbd1,images/Amharic/36804fcbd1.jpg,ይህ ኩባንያ በዋነኝነት የሚያመርተው ምንድን ነው?,ማስተዋል,ቢራ
27b42a341b,images/Amharic/27b42a341b.jpg,የዚህ መሳሪያ ስም ምን ይባላል?,ካህሪ,ከበሮ
8f1dbd7eb2,images/Amharic/8f1dbd7eb2.jpg,ይህ ግድብ በየትኛው የኢትዮጵያ ክልል ነው የሚገኘው?,ኤ🇬🇷,ቤኒሻንጉል
2d06d15cf0,images/Amharic/2d06d15cf0.jpg,የዚህ ግድብ ስም ማን ይባላል?,የሚያህር እንደ ማህካሪያ,ህዳሴ
ccd9bcfc43,images/Amharic/ccd9bcfc43.jpg,ይህንን ግድብ የጀመረው የትኛው ጠቅላይ ሚኒስትር ነው?,የአማርኛ እንቀጽታ እንደምርጥት እንደምርጥት ነው,መለስ ዜናዊ
3efc9d2add,images/Amharic/3efc9d2add.jpg,ይህ የኢትዮጵያ ብር ሲወጣ የኢትዮጵያ ጠቅላይ ሚኒስትር ማን ነበሩ?,five birr,መለስ ዜናዊ
364d59d8d0,images/Amharic/364d59d8d0.jpg,በዚህ ፎቶ ላይ ያለው ረጅሙ ሕንፃ  የማን ነው?,ክርስቲያን,የኢትዮጵያ ንግድ ባንክ
234889e6d2,images/Amharic/234889e6d2.jpg,በዚህ ምስል ላይ የትኛው ታዋቂ ሆቴል ይታያል?,ክርስቲያን,ሸራተን
e11c34f892,images/Amharic/e11c34f892.jpg,ይህ ጨዋታ ምን ይባላል?,ልብ,ገበጣ
652f2542c5,images/Amharic/652f2542c5.jpg,ይህንን ጨዋታ ለመጫወት በዋናነት ምን አይነት ነገሮች ያስፈልጋሉ?,ይህንን ጨዋታ ለመጫወት በዋናነት ምን አይነት ነገሮች ያስፈልጋሉ,ጠጠሮች
be1c7200ec,images/Amharic/be1c7200ec.jpg,ይህንን ማን ገነባው?,አንብር,ንጉስ ላሊበላ
bf00811c22,images/Amharic/bf00811c22.jpg,ይህ ቦታ የሚገኘው የከተማዋ ስም ማን ይባላል?,ኤርትት,ላሊበላ
4d300b3bf6,images/Amharic/4d300b3bf6.jpg,ይህ ንጉስ ያሸነፈው የትኛውን ጦርነት ነው?,ምንም,አድዋ
02f77a0537,images/Amharic/02f77a0537.jpg,የዚህ ንጉስ ሚስት ማን ነበረች?,hugues fonteine,እቴጌ ጣይቱ
0dbc975820,images/Amharic/0dbc975820.jpg,ይህንን መንገድ የሚያስውበው ፕሮጀክት ስም ማን ይባላል?,ካህን,ኮሪደር
5c9917475a,images/Amharic/5c9917475a.jpg,ይህንን ፕሮጀክት የጀመረው የትኛው ጠቅላይ ሚኒስትር ነው?,አንሰር,አብይ አህመድ
c649e9b7d4,images/Amharic/c649e9b7d4.jpg,ይህ ቦታ የት ነው?,አንዳን ተሰጥ,ሳይንስ ሙዚየም
6b94abd223,images/Amharic/6b94abd223.jpg,የዚህ ቦታ መክፈቻ ማን ነው የመረቀው?,ክርስቲያን,አብይ አህመድ
3c247b201b,images/Amharic/3c247b201b.jpg,የአረንጓዴ ቅጠሎች ስም ምን ይባላል?,የአረንጓዴ ቅጠሎች ስም ምን ይባላል,ጤና አዳም
d57ef283f8,images/Amharic/d57ef283f8.jpg,የዚህ ምግብ ስም ምን ይባላል?,ካህን,ፍርፍር
498da8a735,images/Amharic/498da8a735.jpg,ይህ ሰው ምን እየሰራ ነው?,እንደምርት,እየጸለየ
215bd0169d,images/Amharic/215bd0169d.jpg,ይህ ሰው የት ነው የቆመው?,አንስብ,ቤተ ክርስቲያን
d56aa917bb,images/Amharic/d56aa917bb.jpg,የዚህ ልብስ ስም ምን ይባላል?,ካህን,የሃበሻ ቀሚስ
d087eec9e6,images/Amharic/d087eec9e6.jpg,ይህንን ልብስ ለመሥራት ምን ዓይነት ቁሳቁስ ጥቅም ላይ ይውላል?,ካህን,ጥጥ
131745949e,images/Amharic/131745949e.jpg,የትኛው የኢትዮጵያ ንጉሠ ነገሥት ነው ከዚህ ምልክት ጋር የቅርብ ዝምድና ያለው?,እንደ ማህቃለም ነገሥት ነው ከዚህ ምልክት ጋር ያለው እንደ ማህቃለም ነገሥት ነው ከዚህ �,አፄ ኃይለ ሥላሴ
3c2d436ca3,images/Amharic/3c2d436ca3.jpg,ይህ ምግብ ምን ይባላል?,አንሰር,በያይነቱ
952da5faa1,images/Amharic/952da5faa1.jpg,ይህ ምግብ እንዴት ይበላል?,አማርኛ,በባዶ እጆች
4e11a7ff61,images/Amharic/4e11a7ff61.jpg,ይህ ምግብ ምን ይባላል?,አንሰር,ጥብስ
